CULTIVOS TEMPORALES,2017/2018 - SUPERFICIE CULTIVADA (ha),2017/2018 - PRODUCCION (t),2018/2019 - SUPERFICIE CULTIVADA (ha),2018/2019 - PRODUCCION (t),2019/2020 - SUPERFICIE CULTIVADA (Hectareas) ,2019/2020 - PRODUCCION (Toneladas),2020/2021 - SUPERFICIE CULTIVADA (Hectareas),2020/2021 - PRODUCCION (Toneladas)
Ajo,165,230,168,234,173,236,171,240
Algodon,9493,18986,18000,27000,11800,29040,12000,29800
Arroz con riego,142000,894600,162000,1069200,180000,1187768,178000,1180600
Arroz secano,1740,2610,1736,2600,1747,2678,1740,2737
Arveja,1400,1268,1402,1267,1417,1286,1415,1285
Batata,5078,50599,5087,50520,5271,52046,5289,52388
Canola,30000,36000,40000,60000,47850,67096,45000,61382
Cana de azucar,110000,6160000,103000,5819500,105000,7430975,105000,7221100
Cebolla de cabeza,995,10150,1009,10150,1062,10638,1219,11050
Frutilla,389,4263,394,4299,414,4514,424,4639
Girasol,30500,48800,28000,39200,21600,34760,20800,34110
Habilla,5425,4420,5750,4385,5731,4270,5797,4307
Kaa hee,2370,3911,3100,3720,3106,3861,3116,3748
Locote,900,10480,923,10606,968,11136,1042,12216
Maiz,1070000,5344650,1085005,5576900,1100000,5834593,990000,4088093
Mandioca,183000,3294000,188000,3384000,185000,3329331,188000,3384013
Mani con cascara,26350,27479,25000,21250,25000,25009,25125,25132
Menta,600,1140,602,1144,605,1142,603,1140
Papa,266,3851,270,3867,277,3983,285,4089
Poroto,73000,62050,72800,65520,72805,69776,72820,69410
Sesamo,30000,18002,40000,24000,55000,37338,53000,35877
Soja,3510000,11045971,3565000,8520350,3631000,11024460,3640000,10537080
Sorgo para grano,31000,107879,31040,107930,31025,107955,31015,107932
Tabaco,3250,6825,3500,7175,3572,7452,3575,7459
Tartago sin cascara,5500,6381,5320,6065,5336,6179,5334,6178
Tomate,1300,50000,1360,52984,1365,53986,1424,57775
Trigo,430000,722400,485000,1358000,480800,1302870,450000,927776
Zanahoria,1000,13670,1100,13200,1138,13960,1077,13635
