STRUCTURE;STRUCTURE_ID;ACTION;FREQ;REF_AREA;INDICATOR;SEX;AGE;URBANISATION;UNIT_MEASURE;COMP_BREAKDOWN_1;COMP_BREAKDOWN_2;COMP_BREAKDOWN_3;TIME_PERIOD;OBS_VALUE;AGG_METHOD;UNIT_TYPE;DECIMALS;DATABASE_ID;TIME_FORMAT;UNIT_MULT;OBS_STATUS;OBS_CONF;FREQ_LABEL;REF_AREA_LABEL;INDICATOR_LABEL;SEX_LABEL;AGE_LABEL;URBANISATION_LABEL;UNIT_MEASURE_LABEL;COMP_BREAKDOWN_1_LABEL;COMP_BREAKDOWN_2_LABEL;COMP_BREAKDOWN_3_LABEL;AGG_METHOD_LABEL;UNIT_TYPE_LABEL;DECIMALS_LABEL;DATABASE_ID_LABEL;TIME_FORMAT_LABEL;UNIT_MULT_LABEL;OBS_STATUS_LABEL;OBS_CONF_LABEL
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;UZB;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;1999;4,96E+24;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Uzbekistan;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;VUT;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;1999;6,66E+22;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Vanuatu;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;VEN;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;1999;4,26E+24;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Venezuela, RB;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;VNM;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;1999;7,30E+24;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Vietnam;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;PSE;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;1999;4,55E+11;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;West Bank and Gaza;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;YEM;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;1999;1,33E+25;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Yemen, Rep.;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;ZMB;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;1999;6,19E+23;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Zambia;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;ZWE;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;1999;1,06E+14;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Zimbabwe;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;AFE;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;2000;3,71E+25;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Eastern & Southern Africa;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;AFW;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;2000;2,95E+26;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Western & Central Africa;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;ARB;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;2000;5,61E+26;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Arab World;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;CSS;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;2000;8,45E+23;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Caribbean small states;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
datastructure;WB.DATA360:DS_DATA360(1.3);I;A;CEB;WB_WDI_NV_AGR_TOTL_CD;_T;_T;_T;USD;_Z;_Z;_Z;2000;1,88E+26;_Z;CUR;2;WB_WDI;P1Y;0;A;PU;Annual;Central Europe and the Baltics;Agriculture, forestry, and fishing, value added (current US$);Total;All age ranges or no breakdown by age;Total;US dollars;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Currency;Two;World Development Indicators (WDI);Annual;Units;Normal value;Public
